x	acos	binomial	nvidia0	nvidia1	nvidia2	nvidia3	nvidia4	nvidia5	nvidia6	d_binomial	d_nvidia0	d_nvidia1	d_nvidia2	d_nvidia3	d_nvidia4	d_nvidia5	d_nvidia6
-0.988098	2.987154	2.730927	2.987159	2.987159	2.987159	2.987159	2.987159	2.987159	2.987159	0.256227	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.987998	2.986505	2.730768	2.986510	2.986510	2.986510	2.986510	2.986510	2.986510	2.986510	0.255737	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.987898	2.985859	2.730609	2.985864	2.985864	2.985864	2.985864	2.985864	2.985864	2.985864	0.255250	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.987798	2.985215	2.730450	2.985220	2.985220	2.985220	2.985221	2.985221	2.985221	2.985221	0.254765	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.987698	2.984575	2.730291	2.984580	2.984580	2.984580	2.984580	2.984580	2.984580	2.984580	0.254283	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.987598	2.983936	2.730132	2.983941	2.983941	2.983941	2.983941	2.983941	2.983941	2.983941	0.253804	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.987498	2.983300	2.729973	2.983305	2.983305	2.983305	2.983306	2.983306	2.983306	2.983306	0.253327	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.987398	2.982667	2.729814	2.982672	2.982672	2.982672	2.982672	2.982672	2.982672	2.982672	0.252853	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.987298	2.982037	2.729655	2.982041	2.982041	2.982042	2.982041	2.982041	2.982041	2.982041	0.252381	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.987198	2.981408	2.729496	2.981413	2.981413	2.981413	2.981413	2.981413	2.981413	2.981413	0.251912	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.987098	2.980782	2.729337	2.980787	2.980787	2.980787	2.980787	2.980787	2.980787	2.980787	0.251445	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.986998	2.980159	2.729178	2.980164	2.980164	2.980164	2.980164	2.980164	2.980164	2.980164	0.250980	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.986898	2.979538	2.729020	2.979543	2.979543	2.979543	2.979543	2.979543	2.979543	2.979543	0.250518	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.986798	2.978919	2.728861	2.978924	2.978924	2.978924	2.978924	2.978924	2.978924	2.978924	0.250058	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.986698	2.978303	2.728702	2.978308	2.978308	2.978308	2.978308	2.978308	2.978308	2.978308	0.249601	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.986598	2.977689	2.728543	2.977694	2.977694	2.977694	2.977694	2.977694	2.977694	2.977694	0.249146	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.986498	2.977077	2.728384	2.977082	2.977082	2.977082	2.977082	2.977082	2.977082	2.977082	0.248693	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.986398	2.976467	2.728226	2.976472	2.976472	2.976472	2.976472	2.976472	2.976472	2.976472	0.248241	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
-0.986298	2.975860	2.728067	2.975865	2.975865	2.975865	2.975865	2.975865	2.975865	2.975865	0.247793	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005	-0.000005
